reviewer,date,original_language,content,hospital,clean_for_sentiment,vader_positive,vader_neutral,vader_negative,vader_compound,vader_sentiment,distilbert_label,distilbert_score
Dur B,2024-07,Dutch,"February 2024: Billing: Read it CAREFULLY before you pay. I had 2 pages of listed examinations and consultations and 1 was charged in small letters 'nt. Complied with'. I had no appointment on that date, it is not in the timeline of the MyUz app, and no emails found, when you call billing it is almost immediately 'Yes, they will try to charge for that, will adjust', apparently a known problem, but not normal. It is more expensive than attending a consultation, mind you.

January 2024: The services are unreachable even if you call for 20 minutes. They keep saying that you better make the appointment via 'My Uz Brussels' but you don't have all the services in the bar there. You also keep getting told that they can call you back and then you have to press 1, but when you press 1 the waiting music stops and nothing else happens, never called back.

Suddenly emails with new appointments without asking if this is ok or if the patient can, unilaterally recorded, a month later when the treating physician considers it urgent.

A study that I have to perform: Next free date June 2024 when I went to inquire after another study mid-January. In yet another study requested by the specialist, a machine is defective and it is suspected that it will be within 3 months (then transfer to another hospital in case of defect instead of waiting lists). In the meantime, all symptoms are deteriorating. The GP is not happy about it.",UZ Brussel,"february 2024: billing: read it carefully before you pay. i had 2 pages of listed examinations and consultations and 1 was charged in small letters 'nt. complied with'. i had no appointment on that date, it is not in the timeline of the myuz app, and no emails found, when you call billing it is almost immediately 'yes, they will try to charge for that, will adjust', apparently a known problem, but not normal. it is more expensive than attending a consultation, mind you.

january 2024: the services are unreachable even if you call for 20 minutes. they keep saying that you better make the appointment via 'my uz brussels' but you don't have all the services in the bar there. you also keep getting told that they can call you back and then you have to press 1, but when you press 1 the waiting music stops and nothing else happens, never called back.

suddenly emails with new appointments without asking if this is ok or if the patient can, unilaterally recorded, a month later when the treating physician considers it urgent.

a study that i have to perform: next free date june 2024 when i went to inquire after another study mid-january. in yet another study requested by the specialist, a machine is defective and it is suspected that it will be within 3 months (then transfer to another hospital in case of defect instead of waiting lists). in the meantime, all symptoms are deteriorating. the gp is not happy about it.",0.059,0.861,0.08,-0.4563,neutral,negative,0.9994107484817505
Hanan Ben,2024-07,French,"I have an appointment at 10:25 a.m. 11:10 a.m. still not made, it’s like that all the time here at the diabetes clinic and when I ask where the doctor is no one says sad 😞 …",UZ Brussel,"i have an appointment at 10:25 a.m. 11:10 a.m. still not made, it’s like that all the time here at the diabetes clinic and when i ask where the doctor is no one says sad 😞 …",0.0,0.764,0.236,-0.8594,negative,negative,0.9941530823707581
Dimitri Miessen,2024-07,English,Very gentle and and very reactive once they diagnose serious things.... Thanks,UZ Brussel,very gentle and and very reactive once they diagnose serious things.. thanks,0.372,0.549,0.079,0.6997,positive,positive,0.9997519850730896
Joelle Denis,2024-07,French,Very disappointed with this hospital,UZ Brussel,very disappointed with this hospital,0.0,0.541,0.459,-0.5256,negative,negative,0.9997518658638
Patricia L,2024-07,Dutch,"I was for a check-up for heart and vascular disease, I think this is a very good hospital, the cardiologist and other doctors saved my life 3 years ago, the staff is very friendly, I have been there 5 times and they are always friendly, I don't want any other hospital, so it deserves 5 stars.",UZ Brussel,"i was for a check-up for heart and vascular disease, i think this is a very good hospital, the cardiologist and other doctors saved my life 3 years ago, the staff is very friendly, i have been there 5 times and they are always friendly, i don't want any other hospital, so it deserves 5 stars.",0.248,0.734,0.018,0.949,positive,positive,0.999283492565155
Wim De Vos,2024-07,Dutch,"I was admitted to the Emergency Department last Sunday (which I remember nothing about) and then ended up in ICU where I was cared for by super friendly nurses, both on the day and night shifts.
Also super collegiality among each other
Then to a normal room there, super people, super friendly, explain everything very well
Thank you very much
To the nurses of IC and the. Neurology of UzBrussels🙏🙏🙏🙏",UZ Brussel,"i was admitted to the emergency department last sunday (which i remember nothing about) and then ended up in icu where i was cared for by super friendly nurses, both on the day and night shifts.
also super collegiality among each other
then to a normal room there, super people, super friendly, explain everything very well
thank you very much
to the nurses of ic and the. neurology of uzbrussels🙏🙏",0.324,0.65,0.027,0.9813,positive,positive,0.996057391166687
Chayma El H,2024-07,French,"No skills in pediatrics. Of course, the waiting time is short but in the end it gives me no results. While my son has pneumonia which has persisted for 2 weeks… Zero service!!!!!!!",UZ Brussel,"no skills in pediatrics. of course, the waiting time is short but in the end it gives me no results. while my son has pneumonia which has persisted for 2 weeks… zero service!!",0.0,0.861,0.139,-0.6103,negative,negative,0.9996938705444336
Yamen Edrees,2024-07,English,It contains all specialties,UZ Brussel,it contains all specialties,0.0,1.0,0.0,0.0,neutral,positive,0.9989778995513916
Adkheyy,2024-07,French,"In general everything is good but I have noticed that some physiotherapists do not take very good care of their patients. They let them do things alone. Some people don't make sure the session is done well (the movements, the time for each exercise).",UZ Brussel,"in general everything is good but i have noticed that some physiotherapists do not take very good care of their patients. they let them do things alone. some people don't make sure the session is done well (the movements, the time for each exercise).",0.167,0.682,0.15,0.2359,positive,negative,0.9962202906608582
Ioana Sora,2024-07,English,"I most of the times come here whenever I need tests for my kids or whenever an emergency arises. I just went again two times in a week and was very happy with the doctors, nurses and the staff. Everyone very friendly, they explained everything, put my girl at ease…Last but not least they were all at least bilingual NL/FR. I also heard them talk in EN with other parents.",UZ Brussel,"i most of the times come here whenever i need tests for my kids or whenever an emergency arises. i just went again two times in a week and was very happy with the doctors, nurses and the staff. everyone very friendly, they explained everything, put my girl at ease…last but not least they were all at least bilingual nl/fr. i also heard them talk in en with other parents.",0.064,0.911,0.024,0.4484,positive,positive,0.9996339082717896
Miki Katia,2024-07,French,"By phone they are unpleasant! No way to ask to pay 2x billing! The lady seemed shocked that I didn't know how to pay 600 euros all at once! She refused my request and told me I had to pay! If it wasn't for my gynecologist, I would never have given birth there! It’s expensive and the language barrier is obvious! I'm still waiting for the report from the neonatal pediatrician on my baby who was discharged since November and I haven't received anything in the way of a medical report for his pediatrician, even though I called them to ask for them! As well as the report from his ultrasound, I gave the pediatrician's email address and he received nothing! I just thank some neonatal nurses who were super human and kind.. For emergencies the worst experience! You wait 3 hours even if the waiting room is empty! I passed a little boy who had blood on his head! Never at CHU Saint-Pierre, Erasme, Saint-Luc or Brugman, they would have done that! Children first, especially with a broken head and lots of blood! I felt sorry for the mother and I hope her child is well!

I definitely do not recommend this hospital!",UZ Brussel,"by phone they are unpleasant! no way to ask to pay 2x billing! the lady seemed shocked that i didn't know how to pay 600 euros all at once! she refused my request and told me i had to pay! if it wasn't for my gynecologist, i would never have given birth there! it’s expensive and the language barrier is obvious! i'm still waiting for the report from the neonatal pediatrician on my baby who was discharged since november and i haven't received anything in the way of a medical report for his pediatrician, even though i called them to ask for them! as well as the report from his ultrasound, i gave the pediatrician's email address and he received nothing! i just thank some neonatal nurses who were super human and kind.. for emergencies the worst experience! you wait 3 hours even if the waiting room is empty! i passed a little boy who had blood on his head! never at chu saint-pierre, erasme, saint-luc or brugman, they would have done that! children first, especially with a broken head and lots of blood! i felt sorry for the mother and i hope her child is well!

i definitely do not recommend this hospital!",0.074,0.791,0.135,-0.8538,negative,negative,0.9991574287414551
